WARN  [Service Thread] 2018-03-02 04:23:15,916  GCInspector.java:282 - G1 Young Generation GC in 1558ms.  G1 Eden Space: 3053453312 -> 0; G1 Old Gen: 18404605968 -> 15753805840; G1 Survivor Space: 369098752 -> 436207616; 
INFO  [Service Thread] 2018-03-02 04:23:15,916  StatusLogger.java:52 - Pool Name                    Active   Pending      Completed   Blocked  All Time Blocked
INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - MutationStage                     0         0        8409382         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - ViewMutationStage                 0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - ReadStage                       268         0      191959277         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - RequestResponseStage              9         0      129952518         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - ReadRepairStage                   0         0        1032801         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - CounterMutationStage              0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - MiscStage                         0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - CompactionExecutor                0         0        1529787         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - MemtableReclaimMemory             0         0            827         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - PendingRangeCalculator            0         0             46         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - AntiCompactionExecutor            0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - GossipStage                       0         0         517883         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - SecondaryIndexManagement          0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - HintsDispatcher                   0         0              8         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - MigrationStage                    0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - MemtablePostFlush                 0         0            796         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - ValidationExecutor                0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - Sampler                           0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - MemtableFlushWriter               0         0            758         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,958  StatusLogger.java:56 - InternalResponseStage             0         0              1         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,958  StatusLogger.java:56 - AntiEntropyStage                  0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,958  StatusLogger.java:56 - CacheCleanupExecutor              0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,958  StatusLogger.java:56 - Native-Transport-Requests        10         0       11306462         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:66 - CompactionManager                 0         0
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:78 - MessagingService                n/a      0/20
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:88 - Cache Type                     Size                 Capacity               KeysToSave
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:90 - KeyCache                  398411024                398458880                      all
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:96 - RowCache                          0                        0                      all
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:103 - Table                       Memtable ops,data
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:106 - dse_perf.thread_pool                 455,2142
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - dse_perf.graph_event_log                  0,0
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - dse_perf.node_slow_log                    0,0
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - dse_perf.slow_transaction_log                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - dse_perf.net_stats                     35,197
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - dse_perf.key_cache                     35,157
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - dse_perf.schema_migration_log                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - dse_perf.thread_pool_messages             385,657
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - xnetpipeline17G.JobAttemptStatus_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - xnetpipeline17G.FileEventGulla_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - xnetpipeline17G.SyncSource_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,960  StatusLogger.java:106 - xnetpipeline17G.ServiceSource_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.BaccQueryRegister_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.Context_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.id_allocation                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.JobPlan_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.Job_p                     0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.ImsSyncSource_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.FileReceived_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.JobAttemptStatus_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.JobBundle_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.FileSource_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.FileReceived_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,961  StatusLogger.java:106 - xnetpipeline17G.JobBundle_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.ImsSyncSource_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.BaccQueryRegister_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.JobAttempt_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.JobManager_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.SourceStatus_e                 0,0
